cue_condition,cue_target_interval,flanker_congruence_val,flanker_congruence_string,target_location_val,target_location_string,target_direction_val,target_direction_string,location_congruence_val,location_congruence_string,target_cue_isi,run_type,run_counterpart
trial.validspatialcue1,0,1,congruent,2,left,2,left,1,congruent,2625,1,3
trial.invalidspatialcue,0,2,incongruent,2,left,2,left,1,congruent,2505,1,3
trial.validspatialcue1,800,2,incongruent,2,left,2,left,1,congruent,2101,1,3
trial.validspatialcue3,400,2,incongruent,1,right,1,right,1,congruent,3587,1,3
trial.doublecue,400,2,incongruent,1,right,1,right,1,congruent,2636,1,3
trial.validspatialcue2,400,2,incongruent,1,right,2,left,2,incongruent,3694,1,3
trial.doublecue,400,1,congruent,2,left,1,right,2,incongruent,3466,1,3
trial.validspatialcue3,0,1,congruent,2,left,1,right,2,incongruent,3045,1,3
trial.validspatialcue3,400,1,congruent,1,right,2,left,2,incongruent,2507,1,3
trial.validspatialcue2,800,2,incongruent,2,left,2,left,1,congruent,2380,1,3
trial.invalidspatialcue,800,1,congruent,2,left,2,left,1,congruent,2817,1,3
trial.validspatialcue2,400,1,congruent,1,right,2,left,2,incongruent,3266,1,3
trial.validspatialcue1,800,1,congruent,1,right,2,left,2,incongruent,2867,1,3
trial.validspatialcue1,0,2,incongruent,2,left,1,right,2,incongruent,2977,1,3
trial.validspatialcue2,0,2,incongruent,2,left,2,left,1,congruent,2081,1,3
trial.validspatialcue2,400,1,congruent,2,left,2,left,1,congruent,2957,1,3
trial.nocue,400,1,congruent,2,left,2,left,1,congruent,2812,1,3
trial.validspatialcue1,0,2,incongruent,2,left,2,left,1,congruent,3172,1,3
trial.nocue,0,1,congruent,1,right,1,right,1,congruent,3358,1,3
trial.validspatialcue3,0,2,incongruent,2,left,1,right,2,incongruent,3428,1,3
trial.invalidspatialcue,800,1,congruent,2,left,1,right,2,incongruent,2009,1,3
trial.nocue,0,2,incongruent,1,right,2,left,2,incongruent,3394,1,3
trial.invalidspatialcue,400,2,incongruent,1,right,1,right,1,congruent,2752,1,3
trial.doublecue,0,2,incongruent,2,left,1,right,2,incongruent,2920,1,3
trial.nocue,800,2,incongruent,2,left,2,left,1,congruent,2708,1,3
trial.validspatialcue2,400,1,congruent,1,right,1,right,1,congruent,2666,1,3
trial.validspatialcue3,800,1,congruent,1,right,1,right,1,congruent,2767,1,3
trial.nocue,800,1,congruent,1,right,2,left,2,incongruent,3558,1,3
trial.doublecue,800,1,congruent,2,left,2,left,1,congruent,2547,1,3
trial.doublecue,0,2,incongruent,1,right,2,left,2,incongruent,3003,1,3
trial.invalidspatialcue,0,1,congruent,2,left,2,left,1,congruent,2229,1,3
trial.invalidspatialcue,0,1,congruent,1,right,1,right,1,congruent,2353,1,3
trial.validspatialcue3,0,1,congruent,1,right,2,left,2,incongruent,3089,1,3
trial.validspatialcue1,0,1,congruent,2,left,1,right,2,incongruent,2077,1,3
trial.doublecue,400,1,congruent,1,right,1,right,1,congruent,3601,1,3
trial.validspatialcue1,800,2,incongruent,1,right,2,left,2,incongruent,3273,1,3
trial.validspatialcue3,800,2,incongruent,1,right,2,left,2,incongruent,2291,1,3
trial.validspatialcue1,0,2,incongruent,1,right,2,left,2,incongruent,2019,1,3
trial.validspatialcue2,400,2,incongruent,2,left,2,left,1,congruent,2743,1,3
trial.invalidspatialcue,800,2,incongruent,1,right,2,left,2,incongruent,2934,1,3
trial.invalidspatialcue,0,2,incongruent,1,right,1,right,1,congruent,3254,1,3
trial.validspatialcue1,400,1,congruent,2,left,1,right,2,incongruent,2090,1,3
trial.validspatialcue1,400,1,congruent,1,right,2,left,2,incongruent,2049,1,3
trial.nocue,0,1,congruent,2,left,1,right,2,incongruent,3049,1,3
trial.nocue,400,2,incongruent,2,left,1,right,2,incongruent,3088,1,3
trial.nocue,0,1,congruent,1,right,2,left,2,incongruent,2233,1,3
trial.validspatialcue2,800,1,congruent,1,right,1,right,1,congruent,3045,1,3
trial.nocue,800,1,congruent,1,right,1,right,1,congruent,2233,1,3
trial.doublecue,800,1,congruent,1,right,2,left,2,incongruent,3552,1,3
trial.nocue,800,2,incongruent,1,right,2,left,2,incongruent,2367,1,3
trial.validspatialcue1,400,2,incongruent,1,right,1,right,1,congruent,3657,1,3
trial.doublecue,400,1,congruent,2,left,2,left,1,congruent,2607,1,3
trial.invalidspatialcue,400,2,incongruent,1,right,2,left,2,incongruent,3152,1,3
trial.nocue,800,1,congruent,2,left,2,left,1,congruent,3381,1,3
trial.validspatialcue3,800,1,congruent,1,right,2,left,2,incongruent,3565,1,3
trial.validspatialcue2,0,2,incongruent,2,left,1,right,2,incongruent,2783,1,3
trial.doublecue,800,1,congruent,2,left,1,right,2,incongruent,3182,1,3
trial.validspatialcue2,400,1,congruent,2,left,1,right,2,incongruent,3517,1,3
trial.validspatialcue3,400,2,incongruent,1,right,2,left,2,incongruent,3557,1,3
trial.doublecue,0,1,congruent,2,left,1,right,2,incongruent,3692,1,3
trial.validspatialcue1,400,2,incongruent,2,left,1,right,2,incongruent,2143,1,3
trial.invalidspatialcue,400,2,incongruent,2,left,1,right,2,incongruent,2488,1,3
trial.doublecue,800,2,incongruent,2,left,1,right,2,incongruent,2227,1,3
trial.doublecue,400,2,incongruent,2,left,2,left,1,congruent,2717,1,3
trial.validspatialcue3,0,2,incongruent,1,right,1,right,1,congruent,2077,1,3
trial.nocue,0,2,incongruent,1,right,1,right,1,congruent,2443,1,3
trial.invalidspatialcue,800,1,congruent,1,right,1,right,1,congruent,3161,1,3
trial.validspatialcue2,800,2,incongruent,2,left,1,right,2,incongruent,2333,1,3
trial.validspatialcue2,800,1,congruent,2,left,1,right,2,incongruent,2616,1,3
trial.validspatialcue1,0,1,congruent,1,right,2,left,2,incongruent,2618,1,3
trial.nocue,400,2,incongruent,1,right,2,left,2,incongruent,2080,1,3
trial.validspatialcue1,800,2,incongruent,2,left,1,right,2,incongruent,2603,1,3
