subjid,date,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-NaN_cue-cond-trial.nocue
684,80817,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.75,0.75,0.8333333333333334,0.75,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
695,80817,1.0,1.0,0.8333333333333334,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.0,0.25,0.08333333333333333,0.25,0.25,0.16666666666666666,0.5,0.5,0.25,0.25,1.0,0.75,0.9166666666666666,1.0,0.75,1.0,1.0,0.5,1.0,0.5833333333333334,0.0,0.5,0.08333333333333333,0.25,0.0,0.08333333333333333,0.25,0.0,0.08333333333333333,0.08333333333333333
708,81017,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9166666666666666,1.0,0.75,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.75,1.0,0.8333333333333334
709,81017,1.0,1.0,0.9166666666666666,1.0,1.0,0.8333333333333334,0.75,1.0,0.9166666666666666,0.8333333333333334,0.5,0.75,0.6666666666666666,0.25,0.5,1.0,1.0,1.0,0.9166666666666666,0.75,1.0,1.0,0.75,1.0,0.5,0.9166666666666666,1.0,1.0,1.0,0.75,0.0,0.75,0.75,0.5,0.5,0.5833333333333334,0.75,0.75,1.0,0.3333333333333333
710,81117,0.0,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.75,0.5,0.3333333333333333,0.4166666666666667,0.0,0.5,0.5833333333333334,0.25,0.5,0.08333333333333333,0.5,0.25,0.3333333333333333,0.25,0.5,0.5,0.4166666666666667,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.4166666666666667,0.75,0.5,0.3333333333333333,0.25,0.25,0.3333333333333333,0.25,0.75,0.3333333333333333,0.5
711,81117,0.75,1.0,0.6666666666666666,1.0,0.5,0.5833333333333334,0.75,0.25,0.6666666666666666,0.8333333333333334,0.5,1.0,0.8333333333333334,0.5,0.5,0.8333333333333334,0.75,0.5,0.5833333333333334,0.8333333333333334,0.25,0.25,0.08333333333333333,0.25,0.25,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.16666666666666666,0.08333333333333333
712,81017,1.0,1.0,0.9166666666666666,1.0,0.75,0.9166666666666666,1.0,1.0,1.0,0.9166666666666666,1.0,0.75,0.9166666666666666,0.75,0.5,0.9166666666666666,1.0,0.5,0.75,0.5833333333333334,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.9166666666666666,0.5,0.5,0.9166666666666666,0.75,0.75,0.8333333333333334,0.5
713,81017,1.0,1.0,0.9166666666666666,1.0,0.75,0.9166666666666666,0.75,1.0,1.0,0.9166666666666666,1.0,0.0,0.75,1.0,0.25,0.75,1.0,0.5,0.75,0.8333333333333334,1.0,1.0,0.9166666666666666,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5833333333333334,1.0,0.25,0.9166666666666666,1.0,0.75,0.9166666666666666,0.8333333333333334
715,81017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,81017,0.75,1.0,0.75,1.0,0.75,0.6666666666666666,0.75,1.0,0.9166666666666666,0.9166666666666666,0.25,0.25,0.4166666666666667,0.5,0.5,0.5,0.75,0.5,0.5833333333333334,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,0.5,0.0,0.5,0.3333333333333333,0.5,0.25,0.25,0.75,0.0,0.4166666666666667,0.3333333333333333
